"Cluster","Age","Income","Budget","Replacement_Cycle","Shopping","Loyalty","Camera","Gaming","Battery","AI","Design","Price","Social","MobileGaming","Photography"
"1",37.7166666666667,1556.36666666667,643.816666666667,3.955,5.06666666666667,3.93333333333333,3.13333333333333,1.65,4.58333333333333,2.21666666666667,2.9,3.55,2.73333333333333,1.53333333333333,3.13333333333333
"2",22.6375,849.825,723.9125,2.04125,8.675,3.15,4.2,4.675,3.825,4.5375,4.25,2.175,4.7375,4.6625,4.25
"3",35.2,3337.24285714286,1348.55714285714,1.51142857142857,6.11428571428571,4.62857142857143,4.77142857142857,2.54285714285714,4.61428571428571,4.22857142857143,4.44285714285714,1.9,3.51428571428571,2.1,4.54285714285714
"4",20.6888888888889,469,305.233333333333,3.27444444444444,8.07777777777778,2.31111111111111,3.35555555555556,3.5,4.01111111111111,3.14444444444444,3.43333333333333,4.55555555555556,4.42222222222222,3.38888888888889,3.22222222222222
